IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.183.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,2.22
47.76.49.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,29,2.11
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,27,2.11
8.217.127.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,37,1.93
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,1.70
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,60,1.64
8.218.98.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,1.61
47.243.139.243,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,1.61
47.243.86.79,2086,2086,false,HKG,Asia Pacific,Hong Kong,31,1.55
47.242.79.71,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,1.55
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,34,1.53
8.210.156.6,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,1.52
8.218.173.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,1.48
152.32.190.239,4431,0,true,HKG,Asia Pacific,Hong Kong,197,1.23
8.210.164.75,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,1.16
47.76.227.128,2096,0,true,HKG,Asia Pacific,Hong Kong,42,0.97
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,32,0.96
34.96.226.249,443,0,true,HKG,Asia Pacific,Hong Kong,64,0.67
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,30,0.24
34.96.159.187,443,0,true,HKG,Asia Pacific,Hong Kong,201,0.15
39.115.137.14,443,443,true,HKG,Asia Pacific,Hong Kong,182,0.13
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,146,0.11
34.150.25.97,443,0,true,HKG,Asia Pacific,Hong Kong,218,0.11
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,204,0.08
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,206,0.08
207.226.152.42,443,443,true,HKG,Asia Pacific,Hong Kong,199,0.04
