IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.139.13,2083,0,true,SIN,Asia Pacific,Singapore,102,10.42
8.219.177.205,8443,0,true,SIN,Asia Pacific,Singapore,100,10.41
8.219.60.54,2052,2052,false,SIN,Asia Pacific,Singapore,59,10.40
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,194,10.27
8.219.104.37,2087,2087,true,SIN,Asia Pacific,Singapore,152,10.25
8.219.78.188,2052,2052,false,SIN,Asia Pacific,Singapore,63,10.23
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,108,10.21
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,125,10.19
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,64,10.11
8.219.78.1,2083,2083,true,SIN,Asia Pacific,Singapore,66,10.08
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,68,10.08
8.222.164.209,2053,0,true,SIN,Asia Pacific,Singapore,63,10.03
8.219.132.64,2087,0,true,SIN,Asia Pacific,Singapore,109,9.98
8.222.184.198,2083,0,true,SIN,Asia Pacific,Singapore,86,9.92
8.222.146.222,8880,8880,false,SIN,Asia Pacific,Singapore,62,9.91
47.236.80.110,2083,0,true,SIN,Asia Pacific,Singapore,107,9.91
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,107,9.82
8.222.237.131,2082,2082,false,SIN,Asia Pacific,Singapore,62,9.82
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,108,9.79
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,100,9.79
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,67,9.77
8.222.215.228,8880,8880,false,SIN,Asia Pacific,Singapore,64,9.70
8.222.165.117,2096,2096,true,SIN,Asia Pacific,Singapore,63,9.58
8.222.183.242,2095,2095,false,SIN,Asia Pacific,Singapore,83,9.56
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,62,9.55
8.219.0.48,2096,2096,true,SIN,Asia Pacific,Singapore,62,9.42
8.219.0.48,80,80,false,SIN,Asia Pacific,Singapore,63,9.37
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,104,9.29
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,104,9.23
8.219.78.1,2095,2095,false,SIN,Asia Pacific,Singapore,65,9.20
8.219.50.180,2095,2095,false,SIN,Asia Pacific,Singapore,68,9.10
47.236.189.92,2083,0,true,SIN,Asia Pacific,Singapore,108,9.02
8.219.200.145,2096,0,true,SIN,Asia Pacific,Singapore,116,8.97
8.219.198.139,2082,2082,false,SIN,Asia Pacific,Singapore,100,8.96
47.236.167.231,2052,2052,false,SIN,Asia Pacific,Singapore,108,8.95
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,107,8.95
8.219.60.54,2086,2086,false,SIN,Asia Pacific,Singapore,65,8.92
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,113,8.81
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,77,8.72
8.219.111.175,2096,0,true,SIN,Asia Pacific,Singapore,75,8.67
8.219.229.190,2095,2095,false,SIN,Asia Pacific,Singapore,101,8.65
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,107,8.58
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,104,8.56
8.219.120.87,2086,2086,false,SIN,Asia Pacific,Singapore,62,8.55
8.219.78.1,80,80,false,SIN,Asia Pacific,Singapore,68,8.52
8.219.147.58,2052,2052,false,SIN,Asia Pacific,Singapore,98,8.51
8.219.174.142,443,443,true,SIN,Asia Pacific,Singapore,99,8.48
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,75,8.46
8.222.134.170,2087,2087,true,SIN,Asia Pacific,Singapore,57,8.46
8.219.104.37,2086,2086,false,SIN,Asia Pacific,Singapore,66,8.42
